case,bag_name,result_name,physical_turn_success,success_definition,planned_row_spacing_m,nominal_speed_mps,navigation_mode_sequence,state_machine_complete,turn_yaw_change_deg,field_nominal_row_spacing_m,measured_entry_lateral_offset_m,entry_evidence_start_s,entry_evidence_end_s,entry_evidence_duration_s,entry_evidence_distance_m,entry_lateral_mae_m,entry_heading_mae_deg,closest_lateral_error_when_aligned_m,best_heading_error_near_row_deg,pre_turn_valid_ratio,pre_turn_lateral_mae_m,pre_turn_lateral_p95_m,pre_turn_heading_mae_deg,post_turn_row_follow_distance_m,post_turn_row_follow_duration_s,post_turn_lateral_mae_m,post_turn_lateral_p95_m
R01,20260901_120240_F_TR_P01_v40_R01,20260901_120247_F_TR_P01_v40_R01,1,entered_adjacent_row,0.5,0.4,ROW_FOLLOW>U_TURN,0,-219.43489212531492,0.6,0.6197199424999176,52.781842784,70.831392127,18.049549343000002,1.2389854749389468,0.05696966695401078,15.621170139274442,0.00029545489018922844,4.385459873139154,0.8412698412698413,0.031056073773282743,0.06892054341733456,4.603330568843617,nan,nan,nan,nan
R02,20260901_120752_F_TR_P01_v40_R02,20260901_120813_F_TR_P01_v40_R02,1,entered_adjacent_row,0.49999999999999994,0.4,ROW_FOLLOW>U_TURN,0,-219.2773970433976,0.6,0.6159169868817053,42.519454607,64.070759544,21.551304936999998,1.2911993122096557,0.05853567205457527,17.841157937886475,0.0002393216144558341,2.6497215190765027,0.6923076923076923,0.023944245137090047,0.045437199994921684,2.3140648591153425,nan,nan,nan,nan
R03,20260901_121437_F_TR_P01_v40_R03,20260901_121452_F_TR_P01_v40_R03,1,entered_adjacent_row,0.5,0.4,ROW_FOLLOW>U_TURN>NEXT_ROW_REACQUIRE>ROW_FOLLOW,1,-200.12264487650287,0.6,0.6493022993925043,44.280738265,56.32371774,12.042979475000003,3.5739478160540186,0.05915847651349358,5.692664591861352,0.00048018583349729305,0.09136240466319302,0.7468354430379747,0.01968867688044122,0.04841827414929867,4.130827847388029,5.445078912598034,17.248367621,0.04097323517850541,0.13615582138299925
R04,20260901_123236_F_TR_P01_v40_R04,20260901_123302_F_TR_P01_v40_R04,1,entered_adjacent_row,0.5,0.4,ROW_FOLLOW>U_TURN,0,-140.98190542605997,0.6,0.6152270309584077,47.329986764,55.029555924,7.699569160000003,1.2078412639301592,0.04526275837247158,14.232308344892227,0.0014119467791059437,0.004734127472068225,0.8320610687022901,0.019995555960348035,0.045954021066427236,1.9196620922343388,nan,nan,nan,nan
