trial_id,experiment_type,scenario,perception_method,repeat_index,nominal_speed_mps,quality_aware,time_s,ros_time_s,x_m,y_m,yaw_rad,odom_linear_mps,odom_angular_rps,travel_distance_m,cmd_linear_mps,cmd_angular_rps,path_points,path_first_x_m,path_first_y_m,path_mid_x_m,path_mid_y_m,path_last_x_m,path_last_y_m,corridor_width_m,safety_margin_m,error_budget_m,published_confidence,control_quality_factor,headland_detected,navigation_mode,navigation_safety_state,valid,left_points,right_points,row_yaw_rad,center_offset_m,left_slope,left_intercept,right_slope,right_intercept,line_lost_count,support_score,observation_score,width_score,residual_score,safety_score,observed_valid_ratio,raw_confidence,support_weight,observation_weight,width_weight,residual_weight,safety_weight,innermost_enabled,robust_enabled,temporal_enabled,parallel_enabled
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,11.86960377,1785050989.101287,0.0,0.0,-0.00019796542443506493,0.0,0.0012525457634967963,0.0,0.18,0.20788332906792306,21.0,0.0014161303794632356,0.04991754392782847,1.0010120958089832,0.021587946855773532,2.000608046849569,-0.006741650402545929,0.5990906953811646,0.16887839138507843,0.11887839436531067,0.7668905258178711,1.0,0,ROW_FOLLOW,TRACKING,1.0,106.0,124.0,-0.025000128895044327,0.04908916354179382,0.0,0.3538320064544678,0.0,-0.2556536793708801,0.0,0.523809552192688,0.6333332657814026,0.9690951108932495,0.9284130930900574,1.0,0.3333333432674408,0.7668905258178711,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,11.919497953,1785050989.151181,0.0,0.0,-0.00020024939708385156,0.0,0.00122821787083621,0.0,0.18,0.20298812685676573,21.0,0.0013894746564178959,0.04895528456897502,1.0009854586150062,0.02062568763514215,2.000581371637787,-0.007703909657152987,0.5988638997077942,0.16849805414676666,0.1184980571269989,0.7621068954467773,1.0,0,ROW_FOLLOW,TRACKING,1.0,112.0,118.0,-0.024801045656204224,0.047757282853126526,0.0,0.35259175300598145,0.0,-0.2570771872997284,0.0,0.5079364776611328,0.6333332657814026,0.9679338335990906,0.9298166632652283,1.0,0.3333333432674408,0.7621068954467773,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,11.969425481,1785050989.2011085,4.4416503557336674e-05,-8.793827796800085e-09,-0.00019798559043593405,0.00028031212125511365,0.0016572899914668482,4.4417317914847075e-05,0.18,0.19310754964709673,19.0,0.0013272707054344933,0.04661534808839637,0.9009788031944866,0.021572725322220373,1.867270182363655,-0.0053634987302942526,0.5981605052947998,0.16761593520641327,0.11761593818664551,0.7713937759399414,1.0,0,ROW_FOLLOW,TRACKING,1.0,113.0,133.0,-0.02820982225239277,0.04678697884082794,0.0,0.3514527976512909,0.0,-0.257878839969635,0.0,0.5396825075149536,0.6333332657814026,0.9686766266822815,0.9272467494010925,1.0,0.3333333432674408,0.7713937759399414,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.018899109,1785050989.250582,0.0005064719078874916,0.0003233368136050647,-0.00021718790592073497,0.0012117035754646165,0.0005373148125782995,0.0006180591735943992,0.18,0.19197298250586675,21.0,0.0015281608690247408,0.04627467138455373,1.0011920942659003,0.020417043473508034,2.001016159262443,-0.004951718043171734,0.5989128947257996,0.1690528839826584,0.11905288696289062,0.7675493955612183,1.0,0,ROW_FOLLOW,TRACKING,1.0,124.0,135.0,-0.025162236765027046,0.04545460641384125,0.0,0.34990954399108887,0.0,-0.25900033116340637,0.0,0.523809552192688,0.6333332657814026,0.9699500799179077,0.9316658973693848,1.0,0.3333333432674408,0.7675493955612183,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.069307098,1785050989.30099,0.0006078221707028858,0.00032332965373704656,-0.0002181643698309088,0.0014277796674567896,0.00178616007931237,0.0007194115123344417,0.18,0.1920326592761057,21.0,0.0015281608690247408,0.04627467138455373,1.0011920942659003,0.020417043473508034,2.001016159262443,-0.004951718043171734,0.5989128947257996,0.1690528839826584,0.11905288696289062,0.7675493955612183,1.0,0,ROW_FOLLOW,TRACKING,1.0,124.0,135.0,-0.025162236765027046,0.04545460641384125,0.0,0.34990954399108887,0.0,-0.25900033116340637,0.0,0.523809552192688,0.6333332657814026,0.9699500799179077,0.9316658973693848,1.0,0.3333333432674408,0.7675493955612183,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.118967227,1785050989.3506503,0.0005982058359425591,0.0003233346036039744,-0.00019116157442722323,0.0010589965372748728,0.0018742190602957164,0.0007290326186527334,0.18,0.1913408017315132,21.0,0.0016756060884080097,0.04596934938149041,1.0013567667590832,0.020739584605054585,2.0010642647572268,-0.0060701965468301575,0.5992314219474792,0.16801972687244415,0.11801972985267639,0.7690895795822144,1.0,0,ROW_FOLLOW,TRACKING,1.0,110.0,126.0,-0.026302045211195946,0.0455448180437088,0.0,0.3502338230609894,0.0,-0.2591441869735718,0.0,0.5317460298538208,0.6333332657814026,0.9685046076774597,0.9279884099960327,1.0,0.3333333432674408,0.7690895795822144,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.169063112,1785050989.4007463,0.0005585668831661408,0.0009859433652528217,0.0001200601085766806,0.0,0.01895881923075392,0.001434405462541181,0.18,0.18756234333563104,21.0,0.0016756060884080097,0.04596934938149041,1.0013567667590832,0.020739584605054585,2.0010642647572268,-0.0060701965468301575,0.5992314219474792,0.16801972687244415,0.11801972985267639,0.7690895795822144,1.0,0,ROW_FOLLOW,TRACKING,1.0,110.0,126.0,-0.026302045211195946,0.0455448180437088,0.0,0.3502338230609894,0.0,-0.2591441869735718,0.0,0.5317460298538208,0.6333332657814026,0.9685046076774597,0.9279884099960327,1.0,0.3333333432674408,0.7690895795822144,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.219428477,1785050989.4511113,0.0005585668831661408,0.0009859433652528217,-0.00015441774034741232,0.0,-0.01594814763909791,0.001434405462541181,0.18,0.1872828501073872,21.0,0.001757961854219639,0.046157215528610775,1.0014118088032593,0.019853006931738814,2.001065625794808,-0.006451202031840331,0.5996651649475098,0.168264701962471,0.11826470494270325,0.7559272050857544,1.0,0,ROW_FOLLOW,TRACKING,1.0,109.0,147.0,-0.027510249987244606,0.04588702321052551,0.0,0.35067373514175415,0.0,-0.2588996887207031,0.0,0.4841269552707672,0.6333332657814026,0.9704903960227966,0.9328290820121765,1.0,0.3333333432674408,0.7559272050857544,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.269264226,1785050989.5009472,0.002199083722967253,0.0002737748618299764,0.00062465870960704,0.014272114072463678,-0.0015555734412448692,0.0032228347954863113,0.18,0.19047028925687168,21.0,0.001757961854219639,0.046157215528610775,1.0014118088032593,0.019853006931738814,2.001065625794808,-0.006451202031840331,0.5996651649475098,0.168264701962471,0.11826470494270325,0.7559272050857544,1.0,0,ROW_FOLLOW,TRACKING,1.0,109.0,147.0,-0.027510249987244606,0.04588702321052551,0.0,0.35067373514175415,0.0,-0.2588996887207031,0.0,0.4841269552707672,0.6333332657814026,0.9704903960227966,0.9328290820121765,1.0,0.3333333432674408,0.7559272050857544,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_fixed_v018_r1,closed_loop,complex,full,1,0.18,False,12.319346383,1785050989.5510294,0.0016355943243051702,0.0010825315534127092,0.0010694057672133719,0.0331190766431447,0.015572386509400552,0.009991805061593494,0.18,0.18534544631510075,21.0,0.0023670881458019246,0.04643031104932047,1.0019994076224485,0.019315539010491416,2.0016316915381926,-0.007799233234091337,0.5972548723220825,0.1674281507730484,0.11742815375328064,0.7696871757507324,1.0,0,ROW_FOLLOW,TRACKING,1.0,119.0,131.0,-0.028667332604527473,0.04632672667503357,0.0,0.3507395386695862,0.0,-0.25808608531951904,0.0,0.5317460298538208,0.6333332657814026,0.9699044227600098,0.9301056861877441,1.0,0.3333333432674408,0.7696871757507324,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
