time_s,x_m,y_m,yaw_rad,cross_track_error_m,abs_cross_track_error_m,heading_error_rad,path_progress_m,endpoint_distance_m,linear_cmd_mps,angular_cmd_rps
0.0,3.3102532655192873,-0.628477091211306,2.9882069927030415,-0.017202075740466477,0.017202075740466453,-0.002696059283800789,0.06409479487021079,2.935955599956847,0.3291816439004344,0.08327342439826213
0.0604,3.2987911860516705,-0.6267006406826828,2.9880208851872716,-0.017175165610527465,0.01717516561052752,-0.0025099517680309265,0.07569368783667593,2.9243567487008164,0.32679085712311756,0.09283657150752968
0.122,3.2941466759861484,-0.6260237957972302,2.9891386702740146,-0.017121799406205482,0.017121799406205535,-0.003627736854773911,0.08038695373537974,2.919663250433769,0.3270576613591993,0.09176935456320282
0.1817,3.2659253147658243,-0.6242266384169098,2.990886290501324,-0.014510134834844843,0.014510134834844847,-0.005375357082082477,0.10854462075422834,2.8914917869816326,0.32983019383758255,0.08067922464966973
0.2404,3.254852632485662,-0.6225869734491307,2.9914183872411195,-0.014408633225497345,0.014408633225497318,-0.0059074538218779615,0.11973758691638921,2.880298452753404,0.3288800491922249,0.08447980323110028
0.3023,3.248354526672697,-0.6244486103684512,2.991707136118899,-0.011559503949256776,0.01155950394925679,-0.006196202699657594,0.12586731232158788,2.8741559332285864,0.32694601546901125,0.0922159381239549
0.3602,3.236900705374514,-0.6267901576276701,2.9914569247626845,-0.007465938313122416,0.007465938313122427,-0.00594599134344298,0.13681790985234069,2.8631918240972287,0.3306997490440814,0.07720100382367445
0.4204,3.223856286760215,-0.6248589777572737,2.992495451768445,-0.007345903968919183,0.007345903968919203,-0.0069845183492054375,0.15000395946672848,2.8500055076017743,0.3306013509029828,0.07759459638806875
0.4717,3.2026136049324747,-0.6239550348911046,2.993009358532059,-0.004936709901060603,0.004936709901060572,-0.007498425112819618,0.1711289311325866,2.8288753764313674,0.3330711234745384,0.06771550610184655
0.5234,3.1880970146737795,-0.6218038579044401,2.9930628543385636,-0.00480515112090134,0.004805151120901333,-0.007551920919324218,0.18580345488820343,2.814200647430184,0.3325227166963868,0.0699091332144527
0.5798,3.171354929587498,-0.6209421764887867,2.994969179193758,-0.003053821520702615,0.003053821520702667,-0.009458245774518481,0.20247596977138277,2.7975256970280804,0.3251646550753824,0.0993413796984705
0.6401,3.1570451544184244,-0.6193034879992522,2.9972975387475227,-0.0024481532251669556,0.0024481532251669274,-0.01178660532828335,0.2168665267887798,2.7831345499567504,0.3257874094197654,0.09685036232093809
0.7001,3.141399401175349,-0.6171826368347886,2.9997220121378767,-0.0021111102781937088,0.002111110278193722,-0.01421107871863736,0.23265177326315892,2.767349031981717,0.3159042227281834,0.13638310908726625
0.7609,3.139292242967376,-0.617013008155999,3.0014803594188617,-0.0019511218112574392,0.0019511218112574437,-0.015969425999622366,0.23475968533261138,2.7652410030118753,0.3165904112770728,0.13363835489170856
0.8215,3.10584192675086,-0.6147720762271177,3.004680387325216,0.0010349973284150937,0.0010349973284150926,-0.019169453905975242,0.2681517281479064,2.731848467913391,0.31812759810866853,0.12748960756532576
