time_s,x_m,y_m,yaw_rad,cross_track_error_m,abs_cross_track_error_m,heading_error_rad,path_progress_m,endpoint_distance_m,linear_cmd_mps,angular_cmd_rps
0.0,2.9735426211684497,0.5848029917401469,-2.9492898105268908,0.0007423783210986199,0.0007423783210985318,-8.164229020612979e-05,0.000637149763727999,0.7061313114432516,0.15,0.0
0.051,2.9735426211684497,0.5848029917401469,-2.9492687674249893,0.0007423783210986199,0.0007423783210985318,-0.00010268539210755989,0.000637149763727999,0.7061313114432516,0.15,0.0
0.1025,2.9795519534917374,0.5814628641870001,-2.9490755507096873,0.0051690092510151475,0.006935023873196555,-0.00029590210740959577,0.0,0.7067549031194881,0.15,0.0
0.1532,2.976362159171213,0.5808441643767569,-2.949702667848454,0.005166936836552354,0.005346547307934047,0.00033121503135724595,0.0,0.7044400716904907,0.15,0.0
0.2035,2.976542087724239,0.5791946786256996,-2.9494450112191526,0.006820416374851342,0.006931445988045054,7.355840205569564e-05,0.0,0.7031808387154505,0.15,0.0
0.2634,2.9722517791168386,0.578365483309609,-2.9497892214333103,0.006814720756622546,0.0068147207566225665,0.0004177686162134542,0.003134036893974327,0.7000767850426456,0.15,0.0
0.3279,2.971533766389197,0.5778768179799161,-2.95026253631247,0.0071572170999941705,0.007157217099994178,0.0008910834953730351,0.003932179948994109,0.6992691118208921,0.15,0.0
0.3831,2.9684635958897125,0.5771785248478926,-2.951582289411968,0.007256124976542573,0.007256124976542648,0.002210836594870979,0.007079206708666232,0.6969701821685705,0.15,0.0
0.4446,2.9611421540770864,0.5757918784625856,-2.9526505098866873,0.0072185468274342844,0.007218546827434317,0.003279057069590418,0.014530708993190155,0.6917470586142886,0.15,0.0
0.5088,2.9563562255410685,0.574910631899289,-2.9539911122714817,0.0071692607325689415,0.007169260732568979,0.004619659454384806,0.0193968448665547,0.6883760093808508,0.15,0.0
0.5632,2.950578381373709,0.5755822581036091,-2.9545899682248034,0.005406206963777282,0.005406206963777291,0.00521851540770646,0.02493996730692767,0.6857879080096855,0.15,0.0
0.6232,2.949460531918547,0.5753945738666709,-2.9554710926165844,0.005376880917181724,0.00537688091718177,0.006099639799487466,0.026073083699974815,0.6850246359984923,0.15,0.0
0.6831,2.940532896565596,0.5750166483234052,-2.9566423791727687,0.004042313563061456,0.004042313563061454,0.007270926355671835,0.03490849148280128,0.6799148020382291,0.15,0.0
0.7434,2.933810600787859,0.573780390562083,-2.957644216661867,0.003971577251915446,0.003971577251915426,0.008272763844769939,0.04174315242172866,0.675309954410808,0.15,0.0
0.8006,2.918346906764319,0.5716318276218512,-2.9582060120618427,0.0031263898617379434,0.003126389861737931,0.008834559244747187,0.05733250179356867,0.6654606663208357,0.15,0.0
0.8517,2.9110719836345322,0.5703092406784429,-2.959013750353537,0.003034819010227692,0.003034819010227688,0.009642297536441635,0.06472610426775754,0.6606343583421318,0.15,0.0
0.906,2.90618819507509,0.5720951902645008,-2.9600103892084255,0.00034876518740954926,0.0003487651874095478,0.010638936391329954,0.06917875757541611,0.6597410851038523,0.15,0.0160230648
0.9576,2.8993726204157975,0.5708755866607268,-2.9610580810660463,0.0002438614842373984,0.0002438614842373648,0.011686628248950726,0.07610179781073115,0.65532120658764,0.15,0.027967152020037057
1.0078,2.8914362000822402,0.571091139277117,-2.9614915519718745,-0.0014838921622031271,0.0014838921622030961,0.012120099154778963,0.08385086859235039,0.6516641724611638,0.15,0.03271410934963298
1.0629,2.884023089735303,0.5697691679562793,-2.962096266103891,-0.0016024665363526956,0.0016024665363526575,0.012724813286795643,0.09137999558734636,0.64697398899921,0.15,0.03533745959696163
1.1243,2.8837027971749682,0.5697402714168596,-2.9629637997109715,-0.0016352907846651902,0.0016352907846652151,0.013592346893875895,0.09169990948657407,0.6467974403736362,0.15,0.03757850696094988
1.1832,2.8694127326047174,0.5716011304866078,-2.9634179386408768,-0.006191846164256152,0.006191846164256164,0.014046485823781653,0.10537128633647923,0.6418426651219932,0.15,0.0398951169805624
1.2437,2.862510425113944,0.5703611213362204,-2.9635320360940334,-0.006293289553931434,0.006293289553931437,0.014160583276938254,0.11238336025429578,0.6376359105752217,0.15,0.04924669521099036
1.3045,2.849295544229759,0.5693864540706086,-2.9644680077726333,-0.007861139694979926,0.007861139694979986,0.015096554955538188,0.12554105378306674,0.6309852927083008,0.15,0.054785126693152504
1.3631,2.8394357860927935,0.5700600067885238,-2.9644974240670607,-0.010405891935455469,0.010405891935455503,0.015125971249965621,0.13509054276509436,0.6274337307651712,0.15,0.06070789038291172
1.4236,2.835378745537916,0.5693590157438567,-2.965741984547761,-0.010492867151316863,0.010492867151316834,0.016370531730665938,0.13920677913105434,0.6251197610357233,0.15,0.06401063705955745
1.4774,2.817567765426986,0.5659890105351681,-2.965890506208643,-0.010587533132866346,0.010587533132866327,0.016519053391547356,0.15733352693562358,0.6149145800459482,0.15,0.06440687948569555
1.5435,2.8102675335915466,0.5646950505193981,-2.966278573943843,-0.010712038636825056,0.010712038636825037,0.016907121126747526,0.16474650310940572,0.6109187291170189,0.15,0.06583428781788057
