time_s,x_m,y_m,yaw_rad,cross_track_error_m,abs_cross_track_error_m,heading_error_rad,path_progress_m,endpoint_distance_m,linear_cmd_mps,angular_cmd_rps
0.0,2.8580232000419232,0.28787286765362946,-3.0047362280220593,-0.02291270015490098,0.02291270015490095,0.019304109018925875,0.2411348239942576,0.5834799665213652,0.15,0.05625576631448019
0.0645,2.8513149625526806,0.28694713876925687,-3.0039893417938823,-0.02304154529565548,0.023041545295655486,0.018557222790748895,0.2479054091321276,0.580623923766587,0.15,0.0554867009752715
0.1255,2.82501051855586,0.2850456127891813,-3.0036124292474375,-0.025254198827332642,0.025254198827332656,0.01818031024430411,0.27418551071837605,0.5717378393593203,0.15,0.057575503959255356
0.1848,2.817877359848602,0.2840610348550177,-3.003749095810542,-0.025390997570439555,0.025390997570439576,0.018316976807408736,0.2813849990998689,0.5690590645500924,0.15,0.057944662295641255
0.2446,2.8084927511662077,0.2791333615379563,-3.0035193934527493,-0.021982842087352655,0.021982842087352614,0.018087274449615887,0.29142179742625063,0.5621129370709114,0.15,0.05351032217924763
0.306,2.801198126828059,0.27810654421192404,-3.002968130133733,-0.02210302762337113,0.022103027623371165,0.01753601113059977,0.2987873560264305,0.5595338234176065,0.15,0.05282764984394572
0.3573,2.786356633655158,0.2753107663855633,-3.001711988684228,-0.021649516873517325,0.0216495168735173,0.01627986968109374,0.31388307135414517,0.5538571382431939,0.15,0.05027211781593481
0.409,2.779197292947783,0.27428148373595856,-3.0014131239663646,-0.021746226879376322,0.021746226879376277,0.015981004963230294,0.32111537591851647,0.5515603629664113,0.15,0.05030398445791886
0.465,2.769406848914015,0.27421158067871865,-3.001117471964036,-0.02319984905919045,0.023199849059190456,0.01568535296090179,0.3307975586979367,0.5498795760874722,0.15,0.05136784831238256
0.52,2.760376417399604,0.27108394491631854,-3.0002543412342564,-0.021514743760807458,0.02151474376080747,0.014822222231122062,0.3402045358389779,0.5454468061381764,0.15,0.05019321129580173
0.5855,2.7531500712063703,0.27005056096020286,-3.0003307361888107,-0.021617823502586068,0.021617823502586047,0.014898617185676422,0.3475036684088151,0.5434521919583579,0.15,0.048289313981619224
0.6443,2.7436116336225793,0.270010825246894,-2.9997299538913236,-0.0230620522305687,0.023062052230568706,0.01429783488819014,0.35693221940289993,0.5422751149819014,0.15,0.048285645070435944
0.7058,2.736100989970865,0.2689402435338723,-2.9998946963555033,-0.02317260267066387,0.02317260267066388,0.014462577352369888,0.3645179752563064,0.5404303389095094,0.15,0.049500989233351486
0.7575,2.7173706178304826,0.265471172028703,-2.998899182055964,-0.022658815268386243,0.02265881526838624,0.013467063052830408,0.38355996360128874,0.5354722394805229,0.15,0.047273827195181015
0.8081,2.7096742756537955,0.2643647441297947,-2.9992872709502776,-0.022762836772967195,0.02276283677296722,0.013855151947144151,0.3913347333806919,0.5339373780513642,0.15,0.04798036528154049
0.859,2.709181238484789,0.2642902895703957,-2.999418035412718,-0.022765968601598446,0.02276596860159842,0.013985916409584576,0.39183335079222786,0.5338391910761188,0.15,0.048297877246373806
0.9092,2.7091823032082676,0.26428290348164934,-2.9990995790137114,-0.022758506796140568,0.02275850679614057,0.013667460010577948,0.3918334477580145,0.533831864402687,0.15,0.047988361265706644
