time_s,x_m,y_m,yaw_rad,cross_track_error_m,abs_cross_track_error_m,heading_error_rad,path_progress_m,endpoint_distance_m,linear_cmd_mps,angular_cmd_rps
0.0,2.9064253139741885,0.9265353916187908,3.139739906691986,-0.0,0.0,-0.00012614314823800046,0.0,1.3,0.0,0.0
0.0609,2.9064253139741885,0.9265353916187908,3.1397424860966137,-0.0,0.0,-0.0001287225528656677,0.0,1.3,0.0,0.0
0.1204,2.9064253139741885,0.9265353916187908,3.1397323566914874,-0.0,0.0,-0.00011859314773943197,0.0,1.3,0.0,0.0
0.1743,2.9064253139741885,0.9265353916187908,3.1397272846452395,-0.0,0.0,-0.00011352110149154271,0.0,1.3,0.0,0.0
0.2288,2.9064253139741885,0.9265353916187908,3.139750592354064,-0.0,0.0,-0.0001368288103158477,0.0,1.3,0.0,0.0
0.2802,2.9064253139741885,0.9265353916187908,3.1397724023760674,-0.0,0.0,-0.00015863883231936882,0.0,1.3,0.0,0.0
0.3411,2.9064253139741885,0.9265353916187908,3.1397714088939566,-0.0,0.0,-0.00015764535020856843,0.0,1.3,0.0,0.0
0.3969,2.9064253139741885,0.9265353916187908,3.1397619355243354,-0.0,0.0,-0.0001481719805873638,0.0,1.3,0.0,0.0
0.4492,2.9064253139741885,0.9265353916187908,3.1397620688896435,-0.0,0.0,-0.00014830534589549416,0.0,1.3,0.0,0.0
0.5004,2.9064253139741885,0.9265353916187908,3.1397474922446547,-0.0,0.0,-0.00013372870090666567,0.0,1.3,0.0,0.0
0.5617,2.9064253139741885,0.9265353916187908,3.1397412357642898,-0.0,0.0,-0.00012747222054176888,0.0,1.3,0.0,0.0
0.6204,2.9064253139741885,0.9265353916187908,3.139741949949876,-0.0,0.0,-0.00012818640612799467,0.0,1.3,0.0,0.0
0.6719,2.9064253139741885,0.9265353916187908,3.1397395181021537,-0.0,0.0,-0.0001257545584056885,0.0,1.3,0.0,0.0
0.7222,2.9064253139741885,0.9265353916187908,3.139760602608453,-0.0,0.0,-0.0001468390647048068,0.0,1.3,0.0,0.0
0.7731,2.9064253139741885,0.9265353916187908,3.1397913465373835,-0.0,0.0,-0.00017758299363546115,0.0,1.3,0.0,0.0
0.8296,2.9064253139741885,0.9265353916187908,3.1398007693660706,-0.0,0.0,-0.00018700582232256124,0.0,1.3,0.0,0.0
