trial_id,experiment_type,scenario,perception_method,repeat_index,nominal_speed_mps,quality_aware,time_s,ros_time_s,x_m,y_m,yaw_rad,odom_linear_mps,odom_angular_rps,travel_distance_m,cmd_linear_mps,cmd_angular_rps,path_points,path_first_x_m,path_first_y_m,path_mid_x_m,path_mid_y_m,path_last_x_m,path_last_y_m,corridor_width_m,safety_margin_m,error_budget_m,published_confidence,control_quality_factor,headland_detected,navigation_mode,navigation_safety_state,valid,left_points,right_points,row_yaw_rad,center_offset_m,left_slope,left_intercept,right_slope,right_intercept,line_lost_count,support_score,observation_score,width_score,residual_score,safety_score,observed_valid_ratio,raw_confidence,support_weight,observation_weight,width_weight,residual_weight,safety_weight,innermost_enabled,robust_enabled,temporal_enabled,parallel_enabled
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.095171327,1785050723.5127234,-0.0014524889519044516,-0.00013402480023555624,0.00030845304612192587,0.0,0.001477807423606241,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.145394929,1785050723.562947,-0.0014524889519044516,-0.00013402480023555624,0.0003254542865187559,0.0,0.001332044469085413,0.0,0.0,0.0,19.0,-0.0009860844880601423,0.02322530613255847,0.9038337657111692,0.005283126168180122,1.9652917646776407,-0.01563617976014153,0.5980738997459412,0.1697074919939041,0.11970749497413635,0.7794679403305054,nan,0,,,1.0,113.0,144.0,-0.017479505389928818,0.02134290337562561,0.0,0.3254131078720093,0.0,-0.28272730112075806,0.0,0.5317460298538208,0.6857142448425293,0.9677742719650269,0.9283090233802795,1.0,0.4285714328289032,0.7794679403305054,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.195960684,1785050723.613513,-0.0014524889519044516,-0.00013402480023555624,0.00032381326466301996,0.0,0.001674779341333215,0.0,0.0,0.0,21.0,-0.00103268661824236,0.021910993379849853,1.003784798366955,0.002801530171506099,1.9985660788329305,-0.01960074249164564,0.5963078737258911,0.16832010447978973,0.11832010746002197,0.7727516889572144,nan,0,,,1.0,120.0,133.0,-0.020693320780992508,0.021273896098136902,0.0,0.3251027762889862,0.0,-0.2825549840927124,0.0,0.523809552192688,0.6595237255096436,0.9702710509300232,0.9309991002082825,1.0,0.380952388048172,0.7727516889572144,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.245373641,1785050723.6629257,-0.0014524889519044516,-0.00013402480023555624,0.0003333262828273399,0.0,0.0017001130423157092,0.0,0.0,0.0,21.0,-0.00103268661824236,0.021910993379849853,1.003784798366955,0.002801530171506099,1.9985660788329305,-0.01960074249164564,0.5963078737258911,0.16832010447978973,0.11832010746002197,0.7727516889572144,nan,0,,,1.0,120.0,133.0,-0.020693320780992508,0.021273896098136902,0.0,0.3251027762889862,0.0,-0.2825549840927124,0.0,0.523809552192688,0.6595237255096436,0.9702710509300232,0.9309991002082825,1.0,0.380952388048172,0.7727516889572144,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.29529394,1785050723.712846,-0.0014524889519044516,-0.00013402480023555624,0.000347014806692858,0.0,0.0015158302932316325,0.0,0.0,0.0,20.0,-0.001020958208566412,0.021312956608156453,1.0320997318750325,0.0004812809742177622,1.9485555503373284,-0.02075832545702129,0.5985877513885498,0.16972507536411285,0.11972507834434509,0.7754151821136475,nan,0,,,1.0,126.0,143.0,-0.023124177008867264,0.021737337112426758,0.0,0.3258441686630249,0.0,-0.2823694944381714,0.0,0.5317460298538208,0.6595237255096436,0.9701094031333923,0.9330980181694031,1.0,0.380952388048172,0.7754151821136475,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.345310593,1785050723.762863,-0.0014524889519044516,-0.00013402480023555624,0.00034450859426948805,0.0,0.0013193571718054247,0.0,0.0,0.0,20.0,-0.001020958208566412,0.021312956608156453,1.0320997318750325,0.0004812809742177622,1.9485555503373284,-0.02075832545702129,0.5985877513885498,0.16972507536411285,0.11972507834434509,0.7754151821136475,nan,0,,,1.0,126.0,143.0,-0.023124177008867264,0.021737337112426758,0.0,0.3258441686630249,0.0,-0.2823694944381714,0.0,0.5317460298538208,0.6595237255096436,0.9701094031333923,0.9330980181694031,1.0,0.380952388048172,0.7754151821136475,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.395320717,1785050723.812873,-0.0014524889519044516,-0.00013402480023555624,0.000374616361578539,0.0,0.002292931053385544,0.0,0.0,0.0,20.0,-0.000957541752039571,0.02174354442779794,1.055437004571782,-0.0021727747368799227,1.9652036643616129,-0.022726671513578888,0.598345935344696,0.16859795153141022,0.11859795451164246,0.7715150117874146,nan,0,,,1.0,118.0,131.0,-0.02495752088725567,0.022638365626335144,0.0,0.3271792232990265,0.0,-0.2819024920463562,0.0,0.5396825075149536,0.6333332657814026,0.9686807990074158,0.9280495643615723,1.0,0.3333333432674408,0.7715150117874146,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.445320665,1785050723.8628728,-0.0014524889519044516,-0.00013402480023555624,0.0004148815307178923,0.0,0.0018502994514669568,0.0,0.0,0.0,20.0,-0.000957541752039571,0.02174354442779794,1.055437004571782,-0.0021727747368799227,1.9652036643616129,-0.022726671513578888,0.598345935344696,0.16859795153141022,0.11859795451164246,0.7715150117874146,nan,0,,,1.0,118.0,131.0,-0.02495752088725567,0.022638365626335144,0.0,0.3271792232990265,0.0,-0.2819024920463562,0.0,0.5396825075149536,0.6333332657814026,0.9686807990074158,0.9280495643615723,1.0,0.3333333432674408,0.7715150117874146,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.495752113,1785050723.9133043,-0.0014524889519044516,-0.00013402480023555624,0.00033038500854010183,0.0,-0.007659590831857884,0.0,0.0,0.0,21.0,-0.00094938758040652,0.021940654448465224,1.0554412524967292,-0.0021648584406892828,1.9985671059921095,-0.020144574217844227,0.59792160987854,0.16961447894573212,0.11961448192596436,0.7773449420928955,nan,0,,,1.0,124.0,139.0,-0.021267594769597054,0.0218656063079834,0.0,0.3267032504081726,0.0,-0.2829720377922058,0.0,0.5396825075149536,0.6595237255096436,0.9696572422981262,0.9306930303573608,1.0,0.380952388048172,0.7773449420928955,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
complex_qaware_v018_r4,closed_loop,complex,full,1,0.18,True,0.545489878,1785050723.963042,-0.008983020435405066,-0.004040875715236717,0.00039010958119289896,0.0073651196284139206,-0.011866170142796739,0.008484534330908438,0.0,0.0,21.0,-0.00094938758040652,0.021940654448465224,1.0554412524967292,-0.0021648584406892828,1.9985671059921095,-0.020144574217844227,0.59792160987854,0.16961447894573212,0.11961448192596436,0.7773449420928955,nan,0,,,1.0,124.0,139.0,-0.021267594769597054,0.0218656063079834,0.0,0.3267032504081726,0.0,-0.2829720377922058,0.0,0.5396825075149536,0.6595237255096436,0.9696572422981262,0.9306930303573608,1.0,0.380952388048172,0.7773449420928955,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.15000000596046448,0.15000000596046448,1.0,1.0,1.0,1.0
